"","year","yraw","y1","magnitude","death","inj","intensity","log.area","log.population","y2"
"1",1990,10,28.4288354898336,6.7,0,0,8,11.80738452,12.18331566,0
"2",1990,9,25.5859519408503,4.9,0,3,7,10.27505111,9.952277717,3
"3",1990,130,369.574861367837,5.1,2,24,6,14.64067674,10.60905725,26
"4",1990,1,2.84288354898336,5.1,0,0,6,5.560681631,10.60905725,0
"5",1990,4,11.3715341959335,6.4,0,2,9,14.89666942,12.22366695,2
"6",1990,274.27,779.717670979667,6.9,119,2049,9,11.13166505,12.22342128,2168
"7",1990,18.5,52.5933456561922,5,0,0,6,14.14282672,10.1266311,0
"8",1990,150,426.432532347505,6.2,4,92,8,12.81697887,11.57543067,96
"9",1991,38,104.457551385165,5.2,0,0,7,12.99543868,9.903487553,0
"10",1991,10,27.4888293118856,6.5,0,5,7,10.32285557,10.65725935,5
"11",1991,10.22,28.0935835567471,5,0,0,6,11.03939563,9.878169745,0
"12",1991,99.62,273.843717605004,5.8,1,521,7,13.96558437,9.903487553,522
"13",1991,48.52,133.375799821269,5.8,0,21,7,12.74231014,9.903487553,21
"14",1991,183,503.045576407507,5.5,2,0,7,14.78458348,10.0647557,2
"15",1991,51,140.193029490617,5.3,0,7,7,12.53746055,10.0647557,7
"16",1991,1.75,4.81054512957998,5.6,0,0,7,12.83654623,10.0647557,0
"17",1992,0.05,0.129189416211676,5.4,0,0,6,11.55521838,10.60905725,0
"18",1992,7.55,19.507601847963,5.9,0,0,6,11.16251656,10.88743693,0
"19",1992,86.23,222.800067198656,6.7,4,44,7,11.83123373,11.93688516,48
"20",1992,44.19,114.177606047879,6.5,0,0,6,12.49605208,11.54636024,0
"21",1992,169.23,437.254498110038,5,0,292,6,13.7143855,13.82546089,292
"22",1992,87.38,225.771423771525,5.1,0,0,7,12.71469585,10.20359214,0
"23",1992,18.87,48.7560856782864,5.4,1,142,6,12.24999383,10.23995979,143
"24",1993,68.7,154.757378249725,6.3,0,154,8,13.79015172,10.62132735,154
"25",1993,11.5,25.905529110216,5.3,0,4,6,11.34545311,11.5228758,4
"26",1993,0.67,1.50927865250824,5.4,4,0,6,8.982184279,10.87804719,4
"27",1993,69,155.433174661296,6.6,2,3,8,13.88673294,10.69194491,5
"28",1993,8.12,18.2915562065178,5,0,0,6,11.00309934,9.210340372,0
"29",1993,11.92,26.8516440864152,5,0,13,6,12.25524369,11.66992921,13
"30",1993,20.67,46.5623727572318,5.6,1,14,6,11.87548307,10.89673933,15
"31",1993,9.35,21.0623214939583,5,0,3,7,11.91799049,9.61580548,3
"32",1993,30.55,68.8186012449652,5.6,0,152,7,11.33690402,12.25486281,152
"33",1993,1.1,2.4779201757598,5.1,0,0,6,9.80477158,10.62132735,0
"34",1993,4.8,10.8127425851337,6.6,0,1,7,9.46498259,10.77478092,1
"35",1993,48.05,108.240058586598,6,2,37,7,13.25402302,10.62132735,39
"36",1994,57.4486,104.254804483776,6,0,9,8,12.42037725,9.952277717,9
"37",1994,18.8951,34.2898687905605,5.8,0,0,7,12.8104979,9.903487553,0
"38",1994,3.47,6.29717994100295,4.7,0,3,7,11.55617651,8.987196821,3
"39",1994,1.5092,2.73881958702065,6.3,0,0,7,9.045465729,10.30895266,0
"40",1994,2.047,3.71479174041298,5.2,0,0,6,9.61580548,8.29404964,0
"41",1994,179.968,326.596795280236,7.3,4,814,6,15.32358883,16.21340583,818
"42",1994,15.2,27.5841887905605,5.2,0,11,6,11.7285206,9.998797732,11
"43",1994,10.565,19.1728259587021,5.5,0,1,7,11.25259912,8.987196821,1
"44",1994,5.252,9.53106312684366,5.3,0,0,5,11.75257209,8.987196821,0
"45",1994,31.813,57.7326182890856,5.7,0,133,7,12.86193324,9.903487553,133
"46",1994,2.392,4.3408802359882,6.1,0,407,4,9.736251633,14.58561878,407
"47",1995,9.91,15.3606248425296,6.2,1,37,6,11.61367537,13.50079981,38
"48",1995,7.3,11.315091962711,5.1,0,0,6,11.68603808,9.740968623,0
"49",1995,0.45,0.69750566893424,5.1,0,0,6,10.28021019,11.28978191,0
"50",1995,11,17.0501385739481,5.6,0,20,7,10.99423567,10.54534144,20
"51",1995,14.81,22.9556865709247,5.1,0,5,6,12.59848629,11.00209984,5
"52",1995,0.97,1.5035122197027,5.8,2,3,6,9.180911561,11.11701952,5
"53",1995,3.84,5.95204837490552,5,0,0,6,11.05579857,8.987196821,0
"54",1995,1.65,2.55752078609221,5.3,0,0,6,10.11859893,7.313220387,0
"55",1995,205.5,318.527588813303,7.2,11,136,8,14.92899832,13.26559755,147
"56",1995,105.67,163.789831191736,5.8,12,594,8,14.42997161,13.01254851,606
"57",1995,9.7,15.035122197027,5.2,0,320,6,8.216088099,9.878169745,320
"58",1995,3.52,5.45604434366339,5.3,0,1,6,11.22257316,9.740968623,1
"59",1995,1.94,3.00702443940539,5,0,3,6,11.21788304,9.546812609,3
"60",1995,779.97,1208.96332577475,6.5,59,13903,6,16.53615512,13.99281957,13962
"61",1995,0.58,0.899007306626354,5.2,0,0,9,10.77895629,10.1266311,0
"62",1995,2.18,3.37902746283699,6.2,0,0,7,9.902987427,8.853665428,0
"63",1995,4.56,7.0680574452003,4.5,0,2,6,10.41511286,9.392661929,2
"64",1996,3.1407,4.49443740404745,5.6,0,0,6,11.2374486,9.903487553,0
"65",1996,2.96,4.2358501977204,4.3,0,3,6,11.6324847,9.510407927,3
"66",1996,2500,3577.57618050709,7,309,17057,6,16.63703943,13.88783122,17366
"67",1996,51.61,73.8554826703885,5.4,1,37,6,14.27725265,11.09741002,38
"68",1996,34.11,48.8124494068388,6.1,0,0,7,12.66913033,9.680344001,0
"69",1996,387,553.808792742498,6.9,24,128,8,14.64026084,12.61153775,152
"70",1996,1500,2146.54570830426,6.4,26,453,8,16.79731681,14.5574479,479
"71",1996,29.9,42.7878111188649,5.4,0,20,6,13.67330393,11.5228758,20
"72",1996,21.82,31.2250849034659,5.2,2,57,6,13.37574899,10.04324949,59
"73",1996,1.26,1.80309839497558,6,0,0,6,8.826881344,11.02364931,0
"74",1996,30.8,44.0757385438474,5.7,1,141,7,13.05191087,10.57131693,142
"75",1996,39.985,57.2197534310305,5.5,2,60,7,13.24785882,9.305650552,62
"76",1997,382.116,531.970498302783,6.4,12,44,8,15.10056839,12.38086594,56
"77",1997,15.6,21.717854718262,5.1,0,0,6,12.09853754,9.975808214,0
"78",1997,53,73.7850192351211,5.5,0,2,7,13.46468845,10.51867319,2
"79",1997,90.1948,125.566510432224,6,1,6,7,12.12377197,11.77528973,7
"80",1997,468.2648,651.904288210002,6.6,8,62,8,15.71156893,12.44272455,70
"81",1997,73.5422,102.383257388549,5.2,0,1,6,13.96644206,12.77987307,1
"82",1997,63.878,88.9290463905861,5.2,0,33,7,13.76364026,10.30895266,33
"83",1997,70.71,98.4403530210455,4.2,0,1,6,12.33129461,8.853665428,1
"84",1997,26.75,37.2405521611224,5.3,0,0,6,13.05202245,10.51867319,0
"85",1997,7.975,11.1025571396244,5.6,0,0,7,9.925542543,10.54534144,0
"86",1998,793.879,1114.03823175182,6.2,49,11439,8,15.68763745,12.0370621,11488
"87",1998,21.412,30.0471313868613,6,0,0,7,11.84243782,9.449357272,0
"88",1998,52.3975,73.5286085766423,6.2,0,26,7,12.05060527,10.90778916,26
"89",1998,4.744,6.65718248175182,5.2,1,0,6,11.25386972,10.24707726,1
"90",1998,15.216,21.3523795620438,5,0,1,6,12.94055129,12.29682701,1
"91",1998,9.763,13.7002682481752,6.1,0,0,6,8.973858256,10.89305663,0
"92",1998,9.273,13.0126587591241,5.5,0,15,6,11.83260753,10.74720759,15
"93",1998,1.168,1.63903649635036,4.9,0,2,7,13.17022931,10.31764808,2
"94",1998,52.1771,73.2193246350365,6,0,3,7,13.55516605,11.83283268,3
"95",1998,125.0785,175.520741788321,6.6,3,18,7,13.96516773,11.69940503,21
"96",1998,7.3251,10.2792005474453,4.8,0,35,6,11.22803948,9.71111566,35
"97",1998,89.98,126.267554744526,5.3,0,32,8,13.88519612,10.99036458,32
"98",1998,486.25,682.347171532847,6.2,6,1974,9,15.20465735,12.03646986,1980
"99",1998,97.1,136.258941605839,5.1,0,84,6,14.63576297,16.41820024,84
"100",1999,22.25,31.6709856547895,5.2,0,0,6,12.42751876,9.621389858,0
"101",1999,11.226,15.9792577510412,5.6,1,30,6,12.15216013,11.13625187,31
"102",1999,16.368,23.2984581212402,5.6,0,3,6,13.18269054,11.30638089,3
"103",1999,6.271,8.926236001851,4.7,0,3,7,12.79902097,9.454775637,3
"104",1999,0.508,0.723094863489125,5.2,0,0,6,9.663579255,9.292012521,0
"105",1999,30.6792,43.6692360944007,5,0,0,6,12.24569232,9.370671911,0
"106",1999,4.763,6.77972605275335,5.3,0,0,5,10.78903038,9.98239115,0
"107",1999,58.22,82.8712262841277,5,0,11,7,13.33499911,10.64830171,11
"108",1999,4.58,6.519241092087,5,0,3,6,12.11387512,8.612503371,3
"109",1999,1.1414,1.62468597871356,5.1,0,0,6,10.69160395,8.952475968,0
"110",1999,145.0324,206.441306062008,5.6,0,73,7,11.86570684,11.38605754,73
"111",1999,76.57,108.990893105044,5.2,1,12,6,13.65261744,10.9618506,13
"112",1999,12.33,17.550708005553,5,0,0,6,12.02796818,10.11992869,0
"113",1999,84.888,120.830859787136,5.6,0,0,7,13.81950258,11.28978191,0
"114",1999,3.55,5.05312355391023,5,1,2,6,11.906743,8.425735581,3
"115",2000,26.5184,37.5901375115207,5.1,0,14,7,13.5318889,10.56923784,14
"116",2000,1066.21,1511.36495852535,6.5,7,2528,8,15.27189565,13.77874698,2535
"117",2000,103.74,147.05264516129,5.7,0,69,7,12.64497575,12.46907132,69
"118",2000,4.671,6.62119631336406,5.7,0,0,6,8.144679183,9.392661929,0
"119",2000,3.241,4.59415483870968,5.3,0,0,7,9.719149965,9.518560096,0
"120",2000,56.8,80.5146543778802,4.7,1,28,6,10.9013767,9.852194258,29
"121",2000,71.9823,102.035739539171,5.9,0,24,8,12.08413685,11.58269404,24
"122",2000,78.7,111.558156682028,5.1,2,292,6,12.2322276,11.20388355,294
"123",2000,5.4193,7.6819201843318,6.6,0,5,8,6.875232087,12.41227348,5
