year,CPI,IndexGDP,NOGDP,RealGDP,IPDGDP,NOGDP_factor,IPDGDP_factor,CPI_factor
2018,650.9,3703,914327.1,136222.26,671.20,1,1,1
2017,637.5,3468.8,831381.2,127606.75,651.52,1.099768794,1.030212799,1.021019608
2016,627.5,3243.5,743408.3,119318.63,623.04,1.229912418,1.077294337,1.037290837
2015,615.2,3035.6,686255.7,111670.62,614.54,1.33234172,1.09221081,1.058029909
2014,606.7,2835.9,644380.2,104324.25,617.67,1.418924883,1.086667283,1.07285314
2013,594.8,2639.9,588141.2,97114,605.62,1.554604745,1.108289705,1.094317418
2012,579.7,2449.6,537329,90113.44,596.28,1.701615025,1.125649713,1.122822149
2011,565,2271.1,483392.8,83546.96,578.59,1.891478524,1.160065696,1.152035398
2010,536.1,2073.1,410354.1,76263.13,538.08,2.228141744,1.247402637,1.214139153
2009,519,1873.8,347934.9,68931.48,504.75,2.627868317,1.329771988,1.254142582
2008,522.7,1712.8,321229.5,63008.77,509.82,2.846336031,1.316547823,1.24526497
2007,493.6,1562,270704,57461.29,471.11,3.377589914,1.424725459,1.318679092
2006,471,1367.4,219028.5,50302.54,435.42,4.174466337,1.541505698,1.381953291
2005,464,1213.1,185998.9,44626.31,416.79,4.915766169,1.610409105,1.402801724
2004,455.8,1089,161415.4,40061.04,402.92,5.664435364,1.665845356,1.428038613
2003,438.7,989,136576.3,36382.34,375.39,6.694624909,1.788013562,1.483701846
2002,433.5,898.8,120480.4,33064.16,364.38,7.589011159,1.842039659,1.501499423
2001,437,823.6,109276.2,30297.77,360.67,8.367120196,1.860987637,1.489473684
2000,434,760.2,99066.1,27965.48,354.24,9.229464973,1.89476742,1.499769585
1999,432.2,700.7,89366.5,25776.65,346.7,10.23120632,1.935974649,1.506015733
1998,438.4,650.8,83817.6,23940.98,350.1,10.90853353,1.91717341,1.484717153
1997,441.9,603.5,78802.9,22200.95,354.95,11.60270878,1.890977351,1.472957683
1996,429.9,552.5,70779.6,20324.82,348.24,12.9179467,1.927413309,1.51407304
1995,396.9,502.6,60356.6,18489.15,326.44,15.14875092,2.056127959,1.639959688
1994,339,453,48548.2,16664.51,291.33,18.83338826,2.303924796,1.920058997
1993,273.1,400.7,35599.2,14740.55,241.51,25.68392267,2.779190969,2.383376053
1992,238.1,351.9,27208.2,12945.35,210.18,33.60483604,3.193464701,2.733725325
1991,223.8,308.1,22050.3,11334.07,194.55,41.46551748,3.450025242,2.908400357
1990,216.4,281.9,18923.3,10370.26,182.48,48.31752918,3.678224523,3.007855823
1989,209.9,271.3,17188.4,9980.31,172.22,53.19442764,3.89735461,3.101000476
1988,177.9,260.4,15174.4,9579.33,158.41,60.25458008,4.237121463,3.658797077
1987,149.8,234.1,12166.6,8611.84,141.28,75.15058439,4.750866442,4.345126836
1986,139.6,209.6,10375.4,7710.56,134.56,88.12451568,4.98812731,4.66260745
1985,131.1,192.4,9123.6,7077.82,128.9,100.2156057,5.207156019,4.964912281
1984,119.9,169.6,7314.2,6239.08,117.23,125.0071231,5.725517452,5.428690575
1983,116.7,147.3,6043.8,5418.73,111.54,151.2834806,6.017593786,5.577549272
1982,114.4,132.9,5380.5,4888.99,110.05,169.933482,6.099067795,5.689685315
1981,112.2,122,4933.7,4488.01,109.93,185.3228003,6.105725561,5.801247772
1980,109.5,116,4587.6,4267.29,107.51,199.3040152,6.243162598,5.944292237
1979,101.9,107.6,4100.5,3958.28,103.59,222.9794171,6.479413176,6.387634936
1978,100,100,3678.7,3678.7,100,248.5462528,6.712024109,6.509
