year,ynew,y,death,inj,magnitude,intensity,area,population,log.area,log.population
1990,363.4803872,10,0,0,6.7,8,134240,195500,11.80738452,12.18331566
1990,327.1323485,9,0,3,4.9,7,29000,21000,10.27505111,9.952277717
1990,4725.245034,130,2,24,5.1,6,2282260,40500,14.64067674,10.60905725
1990,36.34803872,1,0,0,5.1,6,260,40500,5.560681631,10.60905725
1990,145.3921549,4,0,2,6.4,9,2948094,203550,14.89666942,12.22366695
1990,9969.17658,274.27,119,2049,6.9,9,68300,203500,11.13166505,12.22342128
1990,672.4387164,18.5,0,0,5,6,1387240,25000,14.14282672,10.1266311
1990,5452.205808,150,4,92,6.2,8,368420,106450,12.81697887,11.57543067
1991,1291.198639,38,0,0,5.2,7,440400,20000,12.99543868,9.903487553
1991,339.7891156,10,0,5,6.5,7,30420,42500,10.32285557,10.65725935
1991,347.2644762,10.22,0,0,5,6,62280,19500,11.03939563,9.878169745
1991,3384.97917,99.62,1,521,5.8,7,1161920,20000,13.96558437,9.903487553
1991,1648.656789,48.52,0,21,5.8,7,341912.5,20000,12.74231014,9.903487553
1991,6218.140816,183,2,0,5.5,7,2635500,23500,14.78458348,10.0647557
1991,1732.92449,51,0,7,5.3,7,278580,23500,12.53746055,10.0647557
1991,59.46309523,1.75,0,0,5.6,7,375700,23500,12.83654623,10.0647557
1992,1.570938224,0.05,0,0,5.4,6,104320,40500,11.55521838,10.60905725
1992,237.2116718,7.55,0,0,5.9,6,70440,53500,11.16251656,10.88743693
1992,2709.24006,86.23,4,44,6.7,7,137480,152800,11.83123373,11.93688516
1992,1388.395202,44.19,0,0,6.5,6,267280,103400,12.49605208,11.54636024
1992,5316.997512,169.23,0,292,5,6,903820,1010000,13.7143855,13.82546089
1992,2745.37164,87.38,0,0,5.1,7,332600,27000,12.71469585,10.20359214
1992,592.8720856,18.87,1,142,5.4,6,208980,28000,12.24999383,10.23995979
1993,1960.506652,68.7,0,154,6.3,8,974960,41000,13.79015172,10.62132735
1993,328.1779695,11.5,0,4,5.3,6,84580,101000,11.34545311,11.5228758
1993,19.11993387,0.67,4,0,5.4,6,7960,53000,8.982184279,10.87804719
1993,1969.067817,69,2,3,6.6,8,1073820,44000,13.88673294,10.69194491
1993,231.7221837,8.12,0,0,5,6,60060,10000,11.00309934,9.210340372
1993,340.1635997,11.92,0,13,5,6,210080,117000,12.25524369,11.66992921
1993,589.8642286,20.67,1,14,5.6,6,143700,54000,11.87548307,10.89673933
1993,266.8229578,9.35,0,3,5,7,149940,15000,11.91799049,9.61580548
1993,871.8119102,30.55,0,152,5.6,7,83860,210000,11.33690402,12.25486281
1993,31.39093621,1.1,0,0,5.1,6,18120,41000,9.80477158,10.62132735
1993,136.9786307,4.8,0,1,6.6,7,12900,47800,9.46498259,10.77478092
1993,1371.213168,48.05,2,37,6,7,570360,41000,13.25402302,10.62132735
1994,1485.276845,57.4486,0,9,6,8,247800,21000,12.42037725,9.952277717
1994,488.5141591,18.8951,0,0,5.8,7,366040,20000,12.8104979,9.903487553
1994,89.71342475,3.47,0,3,4.7,7,104420,8000,11.55617651,8.987196821
1994,39.01887626,1.5092,0,0,6.3,7,8480,30000,9.045465729,10.30895266
1994,52.9231644,2.047,0,0,5.2,6,15000,4000,9.61580548,8.29404964
1994,4652.894993,179.968,4,814,7.3,6,4518040,1.10E+07,15.32358883,16.21340583
1994,392.980996,15.2,0,11,5.2,6,124060,22000,11.7285206,9.998797732
1994,273.1476463,10.565,0,1,5.5,7,77080,8000,11.25259912,8.987196821
1994,135.7852757,5.252,0,0,5.3,5,127080,8000,11.75257209,8.987196821
1994,822.4937123,31.813,0,133,5.7,7,385360,20000,12.86193324,9.903487553
1994,61.84279885,2.392,0,407,6.1,4,16920,2160000,9.736251633,14.58561878
1995,216.4003552,9.91,1,37,6.2,6,110600,730000,11.61367537,13.50079981
1995,159.4069216,7.3,0,0,5.1,6,118900,17000,11.68603808,9.740968623
1995,9.826454069,0.45,0,0,5.1,6,29150,80000,10.28021019,11.28978191
1995,240.2022106,11,0,20,5.6,7,59530,38000,10.99423567,10.54534144
1995,323.3995217,14.81,0,5,5.1,6,296110,60000,12.59848629,11.00209984
1995,21.18146766,0.97,2,3,5.8,6,9710,67307,9.180911561,11.11701952
1995,83.85240806,3.84,0,0,5,6,63310,8000,11.05579857,8.987196821
1995,36.03033159,1.65,0,0,5.3,6,24800,1500,10.11859893,7.313220387
1995,4487.414025,205.5,11,136,7.2,8,3044960,577000,14.92899832,13.26559755
1995,2307.469781,105.67,12,594,5.8,8,1848660,448000,14.42997161,13.01254851
1995,211.8146766,9.7,0,320,5.2,6,3700,19500,8.216088099,9.878169745
1995,76.86470738,3.52,0,1,5.3,6,74800,17000,11.22257316,9.740968623
1995,42.36293532,1.94,0,3,5,6,74450,14000,11.21788304,9.546812609
1995,17031.86529,779.97,59,13903,6.5,6,15190110,1194000,16.53615512,13.99281957
1995,12.66520747,0.58,0,0,5.2,9,48000,25000,10.77895629,10.1266311
1995,47.60371082,2.18,0,0,6.2,7,19990,7000,9.902987427,8.853665428
1995,99.57473457,4.56,0,2,4.5,6,33360,12000,10.41511286,9.392661929
1996,57.99795158,3.1407,0,0,5.6,6,75921,20000,11.2374486,9.903487553
1996,54.66104266,2.96,0,3,4.3,6,112700,13499.5,11.6324847,9.510407927
1996,46166.42116,2500,309,17057,7,6,16802520,1075000,16.63703943,13.88783122
1996,953.0595985,51.61,1,37,5.4,6,1586836,66000,14.27725265,11.09741002
1996,629.8946504,34.11,0,0,6.1,7,317785,16000,12.66913033,9.680344001
1996,7146.561996,387,24,128,6.9,8,2281311,3.00E+05,14.64026084,12.61153775
1996,27699.8527,1500,26,453,6.4,8,19723410,2100000,16.79731681,14.5574479
1996,552.1503971,29.9,0,20,5.4,6,867442,101000,13.67330393,11.5228758
1996,402.9405239,21.82,2,57,5.2,6,644190,23000,13.37574899,10.04324949
1996,23.26787627,1.26,0,0,6,6,6815,61307,8.826881344,11.02364931
1996,568.7703087,30.8,1,141,5.7,7,465986,39000,13.05191087,10.57131693
1996,738.3857401,39.985,2,60,5.5,7,566855,11000,13.24785882,9.305650552
1997,6463.684414,382.116,12,44,6.4,8,3614877,238200,15.10056839,12.38086594
1997,263.8818496,15.6,0,0,5.1,6,179609,21500,12.09853754,9.975808214
1997,896.5216686,53,0,2,5.5,7,704109,37000,13.46468845,10.51867319
1997,1525.690426,90.1948,1,6,6,7,184199,130000,12.12377197,11.77528973
1997,7920.934714,468.2648,8,62,6.6,8,6659593,253400,15.71156893,12.44272455
1997,1244.003318,73.5422,0,1,5.2,6,1162917,355000,13.96644206,12.77987307
1997,1080.528512,63.878,0,33,5.2,7,949452,30000,13.76364026,10.30895266
1997,1196.09523,70.71,0,1,4.2,6,226680,7000,12.33129461,8.853665428
1997,452.4897101,26.75,0,0,5.3,6,466038,37000,13.05202245,10.51867319
1997,134.9011379,7.975,0,0,5.6,7,20446,38000,9.925542543,10.54534144
1998,11361.29609,793.879,49,11439,6.2,8,6502111,168900,15.68763745,12.0370621
1998,306.4296599,21.412,0,0,6,7,139029,12700,11.84243782,9.449357272
1998,749.8668085,52.3975,0,26,6.2,7,171203,54600,12.05060527,10.90778916
1998,67.89194407,4.744,1,0,5.2,6,77178,28200,11.25386972,10.24707726
1998,217.7579724,15.216,0,1,5,6,416879,219000,12.94055129,12.29682701
1998,139.7194456,9.763,0,0,6.1,6,7894,53801.5,8.973858256,10.89305663
1998,132.7069978,9.273,0,15,5.5,6,137669,46500,11.83260753,10.74720759
1998,16.71538589,1.168,0,2,4.9,7,524515,30262,13.17022931,10.31764808
1998,746.712638,52.1771,0,3,6,7,770786,137700,13.55516605,11.83283268
1998,1790.01318,125.0785,3,18,6.6,7,1161436,120500,13.96516773,11.69940503
1998,104.8303709,7.3251,0,35,4.8,6,75210,16500,11.22803948,9.71111566
1998,1287.714403,89.98,0,32,5.3,8,1072171,59300,13.88519612,10.99036458
1998,6958.781156,486.25,6,1974,6.2,9,4011426,168800,15.20465735,12.03646986
1998,1389.609563,97.1,0,84,5.1,6,2271073,13500000,14.63576297,16.41820024
1999,258.7046307,22.25,0,0,5.2,6,249576,15084,12.42751876,9.621389858
1999,130.52666,11.226,1,30,5.6,6,189503,68614,12.15216013,11.13625187
1999,190.3135908,16.368,0,3,5.6,6,531092,81339,13.18269054,11.30638089
1999,72.91401075,6.271,0,3,4.7,7,361863,12769,12.79902097,9.454775637
1999,5.906604602,0.508,0,0,5.2,6,15734,10851,9.663579255,9.292012521
1999,356.7124093,30.6792,0,0,5,6,208083,11739,12.24569232,9.370671911
1999,55.38023173,4.763,0,0,5.3,5,48486,21642,10.78903038,9.98239115
1999,676.9340944,58.22,0,11,5,7,618467,42121,13.33499911,10.64830171
1999,53.25245882,4.58,0,3,5,6,182385,5500,12.11387512,8.612503371
1999,13.27125688,1.1414,0,0,5.1,6,43985,7727,10.69160395,8.952475968
1999,1686.31701,145.0324,0,73,5.6,7,142302,88085,11.86570684,11.38605754
1999,890.2927449,76.57,1,12,5.2,6,849682,57633,13.65261744,10.9618506
1999,143.3630605,12.33,0,0,5,6,167371,24833,12.02796818,10.11992869
1999,987.0075817,84.888,0,0,5.6,7,1004000,80000,13.81950258,11.28978191
1999,41.27646917,3.55,1,2,5,6,148263,4563,11.906743,8.425735581
2000,263.2026619,26.5184,0,14,5.1,7,753051.5,38919,13.5318889,10.56923784
2000,10582.43748,1066.21,7,2528,6.5,8,4290422,963904,15.27189565,13.77874698
2000,1029.649004,103.74,0,69,5.7,7,310201,260165,12.64497575,12.46907132
2000,46.36100344,4.671,0,0,5.7,6,3445,12000,8.144679183,9.392661929
2000,32.16784675,3.241,0,0,5.3,7,16633.1,13610,9.719149965,9.518560096
2000,563.7561541,56.8,1,28,4.7,6,54251,19000,10.9013767,9.852194258
2000,714.4447994,71.9823,0,24,5.9,8,177041.04,107226,12.08413685,11.58269404
2000,781.1198825,78.7,2,292,5.1,6,205300,73415,12.2322276,11.20388355
