"","year","yraw","y1","magnitude","death","inj","intensity","y2","f1","f2","u1","u2","u2_","magnitude.f"
"1",1990,10,28.4288354898336,6.7,0,0,8,0,0.00704390478283502,0.35843056944662,0.338823580182451,0.35843056944662,0,"(6,9]"
"2",1990,9,25.5859519408503,4.9,0,3,7,3,0.00760267561537756,0.0279097183623652,0.31802018024575,0.490316110806254,0.462406392443888,"(3.9,5.2]"
"3",1990,130,369.574861367837,5.1,2,24,6,26,0.000306759581412309,0.00446115166564404,0.804998455831219,0.697395659495992,0.6928377108078,"(3.9,5.2]"
"4",1990,1,2.84288354898336,5.1,0,0,6,0,0.0177731723277528,0.35843056944662,0.0611804243993586,0.35843056944662,0,"(3.9,5.2]"
"5",1990,4,11.3715341959335,6.4,0,2,9,2,0.0118784040042877,0.0385348304655191,0.183275025634519,0.462406392443888,0.423871561978369,"(6,9]"
"6",1990,274.27,779.717670979667,6.9,119,2049,9,2168,9.62554708402859e-05,8.32897445656359e-06,0.874571085315283,0.965987655522774,0.965979323615466,"(6,9]"
"7",1990,18.5,52.5933456561922,5,0,0,6,0,0.00409265705861334,0.35843056944662,0.468369895031942,0.35843056944662,0,"(3.9,5.2]"
"8",1990,150,426.432532347505,6.2,4,92,8,96,0.000246423423264346,0.000856011729724379,0.820623860137884,0.829597306575338,0.828735064283862,"(6,9]"
"9",1991,38,104.457551385165,5.2,0,0,7,0,0.00185327441751825,0.35843056944662,0.610613611872692,0.35843056944662,0,"(3.9,5.2]"
"10",1991,10,27.4888293118856,6.5,0,5,7,5,0.0072213255300619,0.0184041032159247,0.332119419776605,0.530824278722768,0.512420175506844,"(6,9]"
"11",1991,10.22,28.0935835567471,5,0,0,6,0,0.00710639006395572,0.35843056944662,0.336451647488602,0.35843056944662,0,"(3.9,5.2]"
"12",1991,99.62,273.843717605004,5.8,1,521,7,522,0.000481966453911008,7.22907199349221e-05,0.768258850066079,0.927873840665082,0.927801445632447,"(5.2,6]"
"13",1991,48.52,133.375799821269,5.8,0,21,7,21,0.00134430949798818,0.00560390342269328,0.656221596271775,0.6724122043305,0.666666666666667,"(5.2,6]"
"14",1991,183,503.045576407507,5.5,2,0,7,2,0.000190950994453307,0.0385348304655191,0.837232484867041,0.462406392443888,0.423871561978369,"(5.2,6]"
"15",1991,51,140.193029490617,5.3,0,7,7,7,0.00125654123912334,0.0139081654904294,0.665081516163995,0.560554387632156,0.546646222141727,"(5.2,6]"
"16",1991,1.75,4.81054512957998,5.6,0,0,7,0,0.0157445363413091,0.35843056944662,0.0940116435074918,0.35843056944662,0,"(5.2,6]"
"17",1992,0.05,0.129189416211676,5.4,0,0,6,0,0.0296444374917068,0.35843056944662,0.00450914127553903,0.35843056944662,0,"(5.2,6]"
"18",1992,7.55,19.507601847963,5.9,0,0,6,0,0.0090613755735602,0.35843056944662,0.267581253938162,0.35843056944662,0,"(5.2,6]"
"19",1992,86.23,222.800067198656,6.7,4,44,7,48,0.000653164853086438,0.00215330042302565,0.739643597954536,0.765126109205832,0.762944014666779,"(6,9]"
"20",1992,44.19,114.177606047879,6.5,0,0,6,0,0.00165213859333595,0.35843056944662,0.627620229920864,0.35843056944662,0,"(6,9]"
"21",1992,169.23,437.254498110038,5,0,292,6,292,0.000237106140311197,0.000172178672875752,0.823239707414415,0.902456750552707,0.9022841338011,"(3.9,5.2]"
"22",1992,87.38,225.771423771525,5.1,0,0,7,0,0.00064066567771477,0.35843056944662,0.741565717752357,0.35843056944662,0,"(3.9,5.2]"
"23",1992,18.87,48.7560856782864,5.4,1,142,6,143,0.0044153285356627,0.000488008004209039,0.452058482353322,0.859853536482164,0.859363072364938,"(5.2,6]"
"24",1993,68.7,154.757378249725,6.3,0,154,8,154,0.0010970897994276,0.000438777225287255,0.682179077849927,0.864942928826484,0.864502091986048,"(6,9]"
"25",1993,11.5,25.905529110216,5.3,0,4,6,4,0.00753644879629948,0.0221040647005905,0.32043921523024,0.512420175506844,0.490316110806254,"(5.2,6]"
"26",1993,0.67,1.50927865250824,5.4,4,0,6,4,0.020059797628479,0.0221040647005905,0.0361031947751003,0.512420175506844,0.490316110806254,"(5.2,6]"
"27",1993,69,155.433174661296,6.6,2,3,8,5,0.00109048748335214,0.0184041032159247,0.682918252696185,0.530824278722768,0.512420175506844,"(6,9]"
"28",1993,8.12,18.2915562065178,5,0,0,6,0,0.00940717941733912,0.35843056944662,0.256354079745805,0.35843056944662,0,"(3.9,5.2]"
